Origem Viagem Ida;Cidade
fa7aec4efb728534ef32c172197c9560097c6d0e4893fe6b20242a566ef033d1;São João de Meriti
fa3cfb3f1bb823aa9501f88f1f95f732ee6fef2c3a48be7f1d38037b216a549f;Piracicaba
fa2b7af0a811b9acde602aacb78e3638e8506dfead5fe6c3425b10b526f94bdd;Campina Grande
f9a78464d1428b03ed04bcef318491614d11582986fa18447f72ae40b8a29d4d;Santos
f9a75ecb0e5e127ed6917a563840dd2a33d661d385f9808f0547d188883a01d1;Mauá
f946ec75008dd601f8ae0a8431c2f9f9866ec10989f9fdfda90fb50db8fcbf7e;Montes Claros
f8eebb16fad8156c037189e6940ed46ddc859410c65a31e17a91512622379a90;Boa Vista
f8b7291025863577c250b562e8aa0d7a70387bc67029915cd5c2dfda40a9e055;Betim
f8b4b02c09cf57b204db3b18aa763786d15574ec0824e3639e10afc54990d52d;Maringá
f8818b67ab25419ad5b1bd61440573498e0785aad6c634c987fe5a637570f464;Anápolis
f87f6a02d81b2a4672944a22cb6beded0e0462e4b1d7216b6889cc2dbecce989;Diadema
f8646a257c0c4273b72c83c5d563ba1acda190626677d3cb89dc748e00182315;Carapicuíba
f816a68bcf1a4a75aa3968bbadc53c354e1c553545e32d3b55327ec4968b271e;Petrolina
f805ea44dffeddd29487b108476b31aacc385048674b97d63ddd79381ba60e38;Bauru
f804663d999ea924c7537b90bfa97955add47fb390ccda98c0ea1647c48b782c;Caruaru
f7ec2d2600c8998dd7ebb42ea2367dc30615d60a801383b4bcb319a5b376e6aa;Vitória da Conquista
f7db83a2cd7383d00e444c47bb3d95544dc82127f0665dc0fd57f25e0aab139e;Itaquaquecetuba
f7d9615965e2b49c6bde79dedfdecc39afade6e543922d5d023fda9d13430c44;Rio Branco
f7d804610280c772ae1d527b1d252a3454ae9bf58d9c0cfcfd28104e3bfddbd3;Blumenau
f7cb9b960a2452c5c73e470e88eadbc2f4f1639d35bde895a7307dd350496580;Ponta Grossa
f7bb120e80490b714177ebaeff95174a418361c9755298461be85ae2367a6edc;Caucaia
f7ac69722a0706c533afa393b1574a761a073df0a8280094d3500a4bbc9c2877;Cariacica
f7abf2a084c3668c7b90654bf01205085e5d0219ffad0564904e5c923af11523;Franca
f77a10661490143caf84d7672d2f43b1337d9930df3fbcacfe67c1d8c71ba5af;Olinda
f77030293f52196bb4655d18cf6f3472dfb04a856e0a0f07c8bd658a89396d9d;Praia Grande
f74fee330886f88ceea28e9bdb43c9db1df048010398f407c9cb67e1c1c80e5e;Cascavel
f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980;Canoas
f747870ae666c39b589f577856a0f7198b3b81269cb0326de86d8046f2cf72db;Paulista
f72ec490c51635ddbfad2ed7abf59464770324607a753f6c1ca071a4313a2912;Uberaba
f723386d3487b4a2dab0c775fb5dc403460417fba98906052c345fd1029433e5;Santarém
f71cbfce4cd7b26781662e4a8f0230be3ce4690449091c3b6d905518dc02f872;São Vicente
f6fea6270cfdd57f77ab1281acfdaa10c55586e8e855d5b86a3fd01a8b7ce61c;Ribeirão das Neves
f6920d2ecbf720691362f699e0aa14eecffd23c76545147719dcc3a9a5734050;São José dos Pinhais
f6903a126cfb9fc6c0d18a26461f3cc74b256dc2be0a14c40ad11f7d789e65f8;Pelotas
f65ccfbfec288565c1d414275985547799fde0ed286c85a50bd0ec5faa01d1ac;Vitória
f6543e952ecb93fba1fa65c547c5073a5d25aba46611fe6cc76c1d2645deb3ff;Barueri
f64f410744d9470ffe2d6b9ee6f042cdffcc42a745d2568146e8782ea828ff48;Taubaté
f626051bc94422f26f4b774a2bca105e122df36a2f32f51bd7ee470daa620b0b;Suzano
f6103ca1e01bd200a9258a366b7e8c22a542e771bf11a0679967a5bb47ef3688;Palmas
f5ea2dd1e63e7252ba3c4c4fde679eebabc2c407237eaab933660182ea454cba;Camaçari
f5e9b69ce10f94f87e393a6a8d557762e8b0a6b7a97bd26f1ba4576f0b59ed06;Várzea Grande
f5d2825fffa0e81e50c6fd2a97e18390de0db49de0b9f14f95e7458c69ec8b4e;Limeira
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b;Guarujá
f57e5cb1f4532c008183057ecc94283801fcb5afe2d1c190e3dfd38c4da08042;Juazeiro do Norte
f57b8252cea0e3cad78056cbf96b9fc041279769afd2228f8c9a8a904550aeb0;Foz do Iguaçu
f525eef4f03ab81983392564bc44fea01267b8cd44fc5fd45f1974cb9a6bcd46;Sumaré
f513a0aa4f8f39744c6fddf2b5eb18cc1eac55ca866a1b243d835362a023f243;Petrópolis
f5095cd644fbe157a3ebc71d3e3212530f58e6d8a88c400c811314f217278c59;Cotia
f4dd301311d96b70a2ee62a6bccfe21bb0d94a89ca2805333cf352c1a2381c13;Taboão da Serra
f4c93868660b399edc5eef3fe0a67e989eebb90d07f5bdf57dda124c5093a3e3;Imperatriz
f496efaac08d874397346d93f5353fd77a5a2a2580a53ad6f56b8e3b4e66bbf5;Santa Maria
f48280c0107726b99afcbd3cd0a46a2bac5f1ddb44e8768f232ac4da562eb166;São José
f44b7809595e5ebe3bb4d65e0cdd1ebbb41b29f5ab8fd73b2b6aef8e8691a62e;Parauapebas
f42740c1f068a22bb97ee464ef8d4fc92a6a4701c278f092d377345db5c312c4;Marabá
f40ddf6742b7761b0f7df1f65a639c4fccc23479c5c4c984885ff588f1dfeb0e;Gravataí
f3fc4fc7ae34fab1ec7cde93ff10f2960ca5244e9383c324431cf61788a26253;Mossoró
f3e055913a0b1eb0f07317896f9a1bc466b9a50db85a7f882f3ffde9ffb23aca;Itajaí
f3a075fa8dff3448949028b452b69067c07a3068938bc33543b031188e3ba06b;Volta Redonda
f391e014b2ee3a42955272b8fc78634de1d5833e0cacb412b180376f9c756e49;Governador Valadares
f37f3f2b0dc57a86dee4ba6ff855283bb4d2f0dea1c5bd1b708853444c2ffcec;Indaiatuba
f378b36241ad76f9ad2f05e325147505f00bd5f25cfca3a39e57befeb6ce4c27;São Carlos
f36e2794472c13efdb7e0f233e69de46716c22aadecf5950771353cec1a69b21;Chapecó
f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac;Parnamirim
f35bdfbc3b7e089ee8a84c2684deb1f5c96732895d79086eb8fa0458742a469d;Embu das Artes
f34b72e14fb250dbedede1c2791e8def1a341d074ea2df3943621d8903e5d508;Macaé
f3457dabe1b412ed6374d56fe8fe3b969c761b77dcc80ecc0964b7c7641d219b;Rondonópolis
f343a80aafa11416dbea660c9adb5728982363a1db46756a4c4c86849048088b;São José de Ribamar
f32828acecb4282c87eaa554d2e1db74e418cd6845843012463a3324028bdd9d;Dourados
f2c8c2a5b93d7e3fdd1bcb8f9263d470c225dcdd4458b904415233d5e2a21d0f;Araraquara
f2adeac9190ca809f50201695117e73b723ddab809b7508f72a8a57c667767ea;Jacareí
f296867839c8befafed32b55a7c11ab4ad14387d2434b970a55237d537bc9353;Juazeiro
f292c8c5c2fe9fd30ef1c632e6936edabe42f087e3cb50ceef0324b729383d82;Marília
f27f4a6236a87083d1d1c5cc7ff4324e147db1335ce7c412a5e5efb2fcccc333;Americana
f2545297c4617f372b50068ea63c4a0172331b161606b4d2d4fea9214beed18e;Hortolândia
f23d089e7f2e05f6fe745bf632b49aa89d9b9abb01bfe905a9c6f64a554ae57e;Arapiraca
f23ab45f058247a08e923d993f9d4fbb5636b91a3fdd23b7c2c0aa4893c5ee23;Maracanaú
f1cfa5ebb149e8099d561aae57beed6c68f990f45a910ea9d7b460dbcc5350be;Itapevi
f1916530dae6514fd8ba7c17eadab5ba6739cbd9190b7f967adbe8744748c539;Colombo
f1607c19a0f910ca1b8dce18843bc34e46a533c87e3524ea75798949f7a352d5;Divinópolis
f15223dcc0da90206acdce51c6a9e24938b18665165a819f1abb69233c068cae;Magé
f138665c5aa6600801452ebb40df70c46e73f2c51f4cb72f66b438139c5ec3f6;Ipatinga
f123b11b028b59b48fda505767aea51c641986b17ae7168275cb129422abc4f4;Novo Hamburgo
f11a7d64cc0201a4ba1e60e00992d074dc6c46680bb7be196073d26e53e45bf1;Sete Lagoas
f10d342ce63e0d2d9cd929adda0c0c1d23bf126a2291491a124dcba638848988;Rio Verde
f0f92eb79cec3fad7e7ad71ccfff43a904058162827b274830c05ffc6ec501fb;Águas Lindas de Goiás
f0f250b303d9994d2d71fbb6597b91085cd697ed00df19a5c40026493cb28c9a;Presidente Prudente
f0f131c311ca28a0075e103fd4011d37859bd53c46b90c92aec859c578994ac3;Itaboraí
f0d588a225e6e6ba0501a3f787230abf579f6db2dd55be0fa3450f8acd54e6f3;Viamão
f0ce886ca0b36db682c1050bc041f5cf132ee50351caa4ecfa115e4288c6d6b0;Palhoça
f0ccd8e78b618cb55731054911af540b5496f37e94026cd20dae22363089b2e9;Cabo Frio
f0bc318fb8965cad8d73d578cd03c63b7987dc6a79b906aada091e1b6a13443f;Santa Luzia
f0936a4c96e1cd88ee480c9f2e807c58175b4dfd83ddd4b077bf0d82c59a4c31;São Leopoldo
f06ca10f4977ea7a4857646c826cc9d4b5fa691e2c57766a98ed93dc6001ecde;Criciúma
f025893712b098692411b956531d336d7c3259fcb834ea2471103043b8228d37;Luziânia
f00f2e7bca65e9f8409fdb3bcddfa031664224255d7bd2f6b3de8ff11ababe20;Passo Fundo
efe8564971192c24d29c7aedb7c5230aeaf13dbac7815bb7bd2206bdcc483350;Cabo de Santo Agostinho
efd96aedf377e20afd95285a7c751a864260bd6a149656a4040c5b7757bdbbb6;Lauro de Freitas
efc85be4eef3fca270bccd6d983751efac18a1d35ac94744e16e67ffe704a496;Sobral
efbd1f26a54875e39972ccf7fa21a34f2491c850b2eba9636cb5478e595897b5;Rio Claro
efb092e03612f568901dc7504b50a6c888a3b0734f7ad9e8d6b43ea2232b1124;Araçatuba
ef5839d610a3567ed8e2b6df29dce544e3fb9ffbaf45f507b3a69fbc5e81f507;Valparaíso de Goiás
ef32cc5c2b7c62093d3ec4844b36a02b08bb83eee2efa6b6b5e85ad605790192;Maricá
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d;Sinop
ef0d2e96b08cee59a3557ca2ddba84bd84b4dabd4e2f882122a291bffee0acdd;Nossa Senhora do Socorro
eef79a6a04f78a54832c8891ed83f4863850ec0a7d9807e9b6ac208d23a1e59c;Castanhal
eee936f70d76c9c7ab02ef20f71993bf6a19b43f786a57eb44944d9c9f0f62c9;Rio Grande
eed5fe88eedf687582e394a4afc70a7b8c6afbf20072c1a1d4a935ef5ef94640;Nova Friburgo
eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392;Alvorada
eeafcf2e9d8037ab51da8788043fdd0829500b7d8cc36aeb4503128b8a864cc5;Itabuna
eeab23fccdc4f5006277597468dd61c80decf0792fdc01060906fa2ee6d57af4;Cachoeiro de Itapemirim
ee9d527a0a6108477fc5c98cf2a00f65d38c8e8508c4d17c1c11b2441c78a2ec;Santa Bárbara d'Oeste
ee94e4657435d160b46c22652b4eba5448d0bae1a6cf54020d1b462442286b32;Jaraguá do Sul
ee763a42d50fbbe9ddf43145d0cfc88e2b4409a1b961de59fa2c96949ac3084e;Guarapuava
ee43ec7cc83b9a0fe422f2b26a3ad983c9ca579ca7bce87d07d971642d9c50eb;Ferraz de Vasconcelos
ee1a7173778d6b708b4e532f6b997fcd54053fada5b6315886211257c04aed2d;Ilhéus
ee14860f6bd0506d9d15383aef4c1c56e37d1daf2c6c3ce0c445eec73eb781ba;Bragança Paulista
ee09198e46224875cf39928511ef2b855895c43ee86d1de894ee82bc7c990afa;Timon
edee29f882543b956620b26d0ee0e7e950399b1c4222f5de05e06425b4c995e9;Araguaína
edbad80a93adb5830afc3fccfe0e7c27a81359b59bb2a8c277f95d4adec7c389;Ibirité
ed893e02d0d3b0c3e4af6e9323fc027f26601042869dfe909f84692d98a8cd39;Barra Mansa
ed73cc77ea29bbb0ce4907cc5fe3bc0ecb8114b495b2a0a4a3140f562aba6d0f;Porto Seguro
ed6f2060379b3b2192ea06e51b6e771f0ef931e9efc702f767da99869d4e67f7;Itu
ed4f9ab58560a9b791e8ac36ccbba1126c8f6dd5010d18c31c74b0ddead6b5a8;Angra dos Reis
ed3c9dc579bb8a9de33c72abb3d5230c3f81dfb332f9e93a2468b9828e718997;Mesquita
ed12f17149c7e7b586c76a949fed6e85c2f1bf57e820427eac00c1eeb3926f3d;Linhares
ed042e51f6834de1fbf9c990d47a8baea76f3827bae2d6a2aa36b10844551d7f;São Caetano do Sul
ecdf40652aebdf50b736bd5f8e8c4c7b905583c9fae09404af66bf87da0237c4;Pindamonhangaba
ecb80fffef1947a59eb3fff9d3dddfc60140387317a22d9c0e3f3f85177f3e68;Francisco Morato
ecb2c5cd363bd77cf61ea655104f74f375e36db2586946be713273e53fc18aae;Teresópolis
ecac903ea62dc1d5446a88330af0a17ce89c7787e5aaf450113a4a426813e3cc;Lages
ec995be98212e07c844614f0994071e307adb749eacc116129ceb39dc4a2c4d1;Poços de Caldas
ec3fdcd8136188e3b476270894351cdc05dc44a4df50d1c4ed727294fb89430f;Parnaíba
ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da;Barreiras
ec2a01611db7fd2f95b5238169442a3d737f3838a7cd90401e1aacf5aff64630;Patos de Minas
ec216fb204db213fecf8a4a72363a84fc97d5d1e3ec362eaf42a69ce6a025e16;Jequié
ec04d0809913c908feb2a8ce5de62a20ceae8dba74041ce0909898883271bcdb;Atibaia
ebdac3c98535aaf946e697680be79579e80a17d5e993ba9779cba0eae39a63ff;Itapecerica da Serra
eba563fc7217d554563f68d6463a23b2afd0529369f56c937a3f7635e7096772;Abaetetuba
eb8bff7a00ba4c11dd9b5d08d6d96bea2b409ab393229a6d8dfbeba9b7c4174a;Itapetininga
eb861137efa007794537eac2795cec2e0f87e13e4dce41b303cc45d9794761ed;Caxias
eb7539924cf4b8b67488575210db3526ec7c2daaf546705ac37e5039c71c36f3;Rio das Ostras
eb624dbe56eb6620ae62080c10a273cab73ae8eca98ab17b731446a31c79393a;Senador Canedo
eb51765053fdd178d1430759c3c3c71d388eae337cfde43f62f4320a454ff9f9;Santana de Parnaíba
eb43272640b269219a01caf99c5a4122d6edc0916d45ac13c0ce80ca3ad2def0;Mogi Guaçu
eb3be230bbd2844b1f5d8f2e4fab9ffba8ab22cfeeb69c4c1361993ba4f377b9;Pouso Alegre
eb25198438a00b734ec6328be8da0b1bd787595b91d391f8ee1cfbd79b45d9dc;Araucária
eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f;Alagoinhas
eb0c9cdc0862653468dacc6a876a0c40e9d642c50f798bae1162fe27f18d482c;Toledo
ead17e13e806bfef4486f0502b376a94bb0694f125be95a0a3d03b1cb520c5ed;Santa Rita
eacc30a21d89f388173157d87209b6dbe354af1635fb7838b99db220fdbdfb2f;Fazenda Rio Grande
eaa1938017b2d55e02387d0837e1b56bc124ae8a17624e10e366bae6c4b9c834;Camaragibe
eaa0689a095d4394a05fb51b84b0175a47f68221261377e4829444cbfcae23ca;Nilópolis
ea80b523f4585374b7c94e7b9b420166e845e318f0efb4bafd6f51d3e8b1f72a;Paranaguá
ea415bf50eb65ade427d8d80222df4627e28cd9a418f830bfd9b81d4149bb2ab;Paço do Lumiar
ea3aaf091973f968b8b71970d68a98fb8632f4122e966fcabcc10e34ec093296;Teixeira de Freitas
ea279eca5412c45d2c582a3971b688b3e13cdb893f7bba5c5faaea499fa21ffd;Botucatu
ea215720034a4c3073d7a7886b27431b89805c01b18329b8af22bc4113a668a4;Franco da Rocha
ea1241439855626c01371645bc680b1b0baac60d58e88f8cd72dd34cb8c164a1;Garanhuns
e9f86b73c579e90253ce7539d1cc8c48dc70677b9e5f3c1254e3b53412ef3b13;Trindade
e9a82b29d0a309758a434777091f8c92673ba8853bc06a59f399b92f7ba361b7;Brusque
e9627bf1367d542b0df6de2a21e1178948013fe55c691fe91c6e1c015cdbc6b9;Queimados
e902f49872400fbf419954994932d166f0f0868c36c8e755c45ff7403c0726aa;Balneário Camboriú
e8c63c8326e99ca6c5a986dd3480bf7d90b1e297267f3b58bcc67ae49a4777d9;Teófilo Otoni
e8c5e943ad4fd9d115c2baacd110acddee7f66ec24aa177efa6780f5641ce277;Varginha
e85cdd30a33c8fbee53826f320976004b87d7f4660d2b2743cb2d39ce23da5f1;Campo Largo
e84909d7fba7798e68cbb865e5a577137b5d979e7527eb80ebf4aae1707496eb;Cachoeirinha
e8202f39fad74acd9b6d38a6038da9e8682e857bbdb977cf7b913963bfa2b393;Caraguatatuba
e8026bda3ea2eedc7dc7bce9daa640f8cc0f33e335bd73d986a872b3ba789c71;Salto
e7faa8b075ab5b412691a8b097ebfee4bb5fd87c448bfffc35ed519a449702ce;Cametá
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683;Vitória de Santo Antão
e7f63be25caefa4d8cff32f04757b158f73c50ae313668a07dc8ee9bec9b43de;Jaú
e7d5f7be5195d60646a43ebfa0c38f0451121756e4146f5c2c75deb4e1f63820;Santa Cruz do Sul
e78ade91a0871b5028c74aa0c7be53d54c3c00563fefd5f320d80ba18826f590;Três Lagoas
e7866fdc6672f827c76f6124ca3eeaff44aff8b7caf4ee1469b2ab887e7e7875;Sapucaia do Sul
e76a469e135c5a7434f2d7971c588d3cdf32d90ebb5ba15c810aaeb887899294;Conselheiro Lafaiete
e7684b3d13dd994b4a93ea560a4fdb03cf6e642fdfd49e16cb7b8e69c48a39a0;Itapipoca
e75156a35f87750f13d37f226d6698985de1432a9de0fa5339bc8555784e4541;Crato
e74d21caffe16a058db26f79a53566d143b9f248285646be9ef0e5c29a7575c9;Araras
e73cb135243c08ab2c2adc333b150b9237093315f6b38e3361f07caf2bfb4d6b;Apucarana
e6fcc0253ed7a328a10eb6e2e1ad6abcad60c374c64dbac4b76da610085b43d8;Araruama
e6f47e008cc58b38596e6fdf2f50a0fea93fd10543e652522aeab3aa71355719;Resende
e6d445aff8b38aac050077fbe9a48c3236d6bfcd84f635de9dc64810a856e89f;Sabará
e6d41d208672a4e50b86d959f4a6254975e6fb9b0881166af52c9fe3b5825de2;Vespasiano
e695386731558526b18b65ec242da656db766549d32502c88dd42a2a796c1029;Votorantim
e66f404f78b6875bb24ff40d80d21b78418607abff2e68d3084f75de4a239095;Pinhais
e62e4120ce246492a612a58846228e2949a25756458cd157f43444b39637383f;Sertãozinho
e5e53c784d5d49de1cabb6e904bf3380026aadcb9769775a268dd304dd9aa2df;Barcarena
e5ce886c0b0869006dc9a2da28fcd4f1f291f4a90835b75edb74587b66e5acc9;Valinhos
e5c31b7a40373b6459fad9f33059f767665b7028f375ac63a8279ad53a2c5488;Altamira
e5baabbb54bcea599793ede6f71485107203186274eaf8edf9d55e4f4cc581f3;Barbacena
e5b861a6d8a966dfca7e7341cd3eb6be9901688d547a72ebed0b1f5e14f3d08d;Guarapari
e5ae436f9a1603d308741af5076d1a4eaf926ab9e7bdf14e9737fa19b9c24b6b;Ji-Paraná
e5a406855f76b37cf13c1da6b49bd00b0e2341c96eba17278303a2b7bb33346c;Tatuí
e59adbcd3a4cbeaf58e92a3a1543b256f629fa89c05e668a433115d95f957f30;São Mateus
e582f608256385b3020762254cfc7d37316960934b6f3789bc9fa1176632528a;Itaituba
e5481aa7df58a36f4d0a1fb99cb56e3cf20e1ea96329e414c81d0ce7ad2c1bfc;Bento Gonçalves
e52d08747b9d7a6d04551bb86ee3f7ee6c49f7477c8cd66f77448378cc30b92b;Bragança
e523840da72451cfef9b26935e4ebc63be329cf094c7f2a020374d525e305b82;Barretos
e50b6b02d6d90ddc9e3801a28ee7aaee2bb527371de05a11f294dddaac62d513;Itatiba
e50271b2ab1592e4586f4435ccc103a76f80498eb9cb86fbb4e95a0ee54ddc4e;Colatina
e4ef2cbd84c9acfc40e56914f7b502fdf8ef2326222daf4f905ddc7006247837;Almirante Tamandaré
e4e549408422875958476160732390defefcac7c2bd8353d918fe452d20de2a6;Arapongas
e4d8e2c97976e3e0ddeae407fd54987f0b4f8d6792284742b51399a078765319;Birigui
e4c6a9f38e8e4d127290cf104ac1f46d0649c7db6c89f4bc10be7447bf1f514c;Piraquara
e4ac7c04eba2bb01b47a439a523bf1b6b27b5f668721e794d23faef730620b42;Sarandi
e4ac3c6df79b1da53ef71bb9ffd9127d125ef79f6fe10c8a705c20b8fd83f9e6;Jandira
e4a1f54d2d2430e6efdf51ca5da2f1a2cb363ecda4aecee18a29675161586826;Guaratinguetá
e4890f15c8a2d18ec1fbe938698d8bc1d83ce1ff91aaf7e932b8b6f176262818;Bagé
e485f271f7db87ad8888f40c7b00412cc0c97c9bbf35790e7ba85e08ff602860;Araguari
e41fbda961c9b0a19e1232a464bdf5a03c5b5568b12147ee234d4a473c425beb;Uruguaiana
e41d64db5703c6440b5c714d57251a845bc0bd241480b41a4e7fd3e052f85a82;Umuarama
e41bb15d9efcd5aac9e9b586b6014ca03b39a953d7684e9c4db92e0b2df6a1ae;Itaguaí
e40fb14ef1261bc085b4f28a2846df2fff849a1fbf7956df0ebe080a4b3a188a;Formosa
e40f403944f152f7a2c0629fb7ec67ee61a21ee3ce34353b37521a8c894e993e;São Gonçalo do Amarante
e408bd948222ee13f842773107a80c31a45c581b095a82e1b06d534d3b616bf3;Catanduva
e401f2bd399f3456e5348217a7908ca545ea6d179f60f297a1b0133e87d2ff85;Várzea Paulista
e3f6959781c353c201d378e02d9da532601673e08a1706fa15a5ebbd9ea1bd36;Ribeirão Pires
e3aa235a10ec0805c90255cf4ad18d5af9ce5ab7c39a35dc1426518eb72a0f29;Igarassu
e39eef82f61b21e2e7f762fcc4307358f165757f2e77ec855d6992f7e0191932;Simões Filho
e361ec1ff521cfdb913fbfeb831a2ae6d8f46d505d9c0286db8682a32ca2aaf4;Catalão
e2fa8f5b4364b8ef4dd1f26ab47105d908d06ec84d835e3d1aac404a63f1464a;Codó
e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b;Eunápolis
e2688cb007b9ecd1db04c6345f854a594df036a8fd08c15cb058476a989615b4;Itabira
e22e9c22f92b827381bb3826905aca3a2d11db572514d2e842161d5b18396040;Paulo Afonso
e21a6e2714f15b13083fff18c9d56c5b8f47af99c28f158e804dd9237192a070;Itanhaém
e2135c76ca7863e51154829de3d9cb0a8f6398d31518c7581d370ed9cc521811;Cubatão
